物品id,名称,皮肤,类型,贵重,值,说明,,,,,,,,,,,,,,,,,,,,,,,,,,
8452,天魔解体,218,750,2,描述=天魔解体:通过牺牲自己的HP给对手造成HP伤害。|名称=天魔解体|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8453,小楼夜哭,218,750,2,描述=小楼夜哭:通过牺牲自己的MP给对手造成MP伤害。|名称=小楼夜哭|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8454,青面獠牙,218,750,2,描述=青面獠牙:通过牺牲自己的MP给对手造成HP伤害。|名称=青面獠牙|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8455,乘风破浪,218,750,2,描述=乘风破浪:物理攻击的时候有一定的几率产生风系法术伤害。|名称=乘风破浪|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8456,霹雳流星,218,750,2,描述=霹雳流星:物理攻击的时候有一定的几率产生雷系法术伤害。|名称=霹雳流星|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8457,大海无量,218,750,2,描述=大海无量:物理攻击的时候有一定的几率产生水系法术伤害。|名称=大海无量|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8458,祝融取火,218,750,2,描述=祝融取火:物理攻击的时候有一定的几率产生火系法术伤害。|名称=祝融取火|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8459,红颜白发,218,750,2,描述=红颜白发:使用仙法攻击的时候有一定几率出现狂暴，使伤害增加。|名称=红颜白发|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8460,梅花三弄,218,750,2,描述=梅花三弄:使用仙法攻击的时候有一定几率出现法术连击。|名称=梅花三弄|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8461,开天辟地,218,750,2,描述=开天辟地:使用仙法攻击的时候有一定几率忽视对方的法术抗性。|名称=开天辟地|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8462,万佛朝宗,218,750,2,描述=万佛朝宗:有一定几率将伤害反震。|名称=万佛朝宗|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8463,浩然正气,218,750,2,描述=浩然正气:物理攻击对手让对手的气血按照自身的法力的百分比降低一定数值。|名称=浩然正气|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8464,暗渡陈仓,218,750,2,描述=暗渡陈仓:物理攻击的时候能够忽视对手一定的躲闪和反击进行攻击。|名称=暗渡陈仓|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8465,借力打力,218,750,2,描述=借力打力:受到物理攻击的一回合内有一定的几率产生反击效果。|名称=借力打力|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8466,凌波微步,218,750,2,描述=凌波微步:提高召唤兽一定的躲闪率。|名称=凌波微步|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8467,隔山打牛,218,750,2,描述=隔山打牛:物理攻击的时候有一定几率对攻击对象周围的某个目标造成伤害。|名称=隔山打牛|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8468,分光化影,218,750,2,描述=分光化影:通过牺牲自己的HP给对手造成MP伤害。|名称=分光化影|内丹等级=3转170|经验=0,蕴藏强大灵气的召唤兽内丹，召唤兽吞服后会领悟特殊技能。,,,,,,,,,,,,,,,,,,,,,,,,,,
8469,金玉满堂,jymt,118,0,掉落=2200,将有几率获得稀有矿石，获得，大量金币，通过抽奖的大使处购买。【提示】在抽奖大使处开启！,,,,,,,,,,,,,,,,,,,,,,,,,,
8470,刮刮乐,400,118,2,掉落=110,#Y使用后开始抽奖，有大几率获得神兵、仙器、神兽、积分等稀有资源！#r #r#Y（#R点击右键使用#Y）,,,,,,,,,,,,,,,,,,,,,,,,,,
8475,超级星梦石,214,2114,3,,出自月宫的灵石，具有驻颜的奇异功效#r #r#Y可以重置角色全部分配点。,,,,,,,,,,,,,,,,,,,,,,,,,,
8476,首冲大礼包,sclb,60001,0,物品=7065$1&7066$1&7067$1&7068$1&7069$1&770$3&891$1&212$50&732$3&772$3&8416$1&516$1,首充大礼包，单笔充值100元获得。,,,,,,,,,,,,,,,,,,,,,,,,,,
8478,男管理员变身卡,255,112,0,皮肤=400599|方向=4|lvl=100|卡类=兽|亲和力=14|加强气血=5|加强攻击=20000|加强敏捷=4|狂暴率=3|致命率=200|忽视防御程度=909|忽视防御几率=9|木=50|土=50|速度=5000,【功能】变换造型。,,,,,,,,,,,,,,,,,,,,,,,,,,
8479,女管理员变身卡,255,112,0,皮肤=400252|方向=4|lvl=100|卡类=兽|亲和力=14|加强气血=5|加强攻击=9|加强敏捷=4|狂暴率=3|致命率=2|忽视防御程度=9|忽视防御几率=9|木=50|土=50,【功能】变换造型。,,,,,,,,,,,,,,,,,,,,,,,,,,
8480,大话精灵变身卡,255,112,0,皮肤=400253|方向=4|lvl=100|卡类=仙|亲和力=99|加强气血=99|加强攻击=99|加强敏捷=99|金=100|土=100|加强雷=999|加强风=999|强力克木=1000|强力克土=1000,【功能】变换造型。,,,,,,,,,,,,,,,,,,,,,,,,,,
8481,凝魂珠,736,2080,3,描述=【功能】:合成召唤兽的必备材料。,可以与天书残卷一起合成天书召唤兽。,,,,,,,,,,,,,,,,,,,,,,,,,,
8482,天书残卷,900,2070,0,,天界散落的残缺的天书，收集合成完整的一本会出现经文的神秘力量。#r#c33FFF在神兽合成里面与#R凝魂珠#c33FFF合成天书召唤兽。,,,,,,,,,,,,,,,,,,,,,,,,,,
8483,10W亲密丹,741,715,2,亲密=100000,南极仙翁采用多味罕见仙药精炼而成的灵丹，召唤兽使用后会产生一定的亲密度。#r #r#Y增加召唤兽100000点,,,,,,,,,,,,,,,,,,,,,,,,,,
9716,幻羽,7002,7001,2,阶数=1|性别要求=1|等级要求=60|抗封印=2|抗混乱=2|抗昏睡=2|抗遗忘=2,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9717,幻羽,7002,7001,2,阶数=2|性别要求=1|等级要求=100|抗封印=4|抗混乱=4|抗昏睡=4|抗遗忘=4,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9718,幻羽,7002,7001,2,阶数=3|性别要求=1|等级要求=100|抗封印=6|抗混乱=6|抗昏睡=6|抗遗忘=6,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9719,幻羽,7002,7001,2,阶数=4|性别要求=1|等级要求=120|敏捷=20|抗封印=22.5|抗混乱=26,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9720,幻羽,7002,7001,2,阶数=4|性别要求=1|等级要求=120|灵性要求=400|抗封印=36|抗混乱=16|加强雷=22,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9721,幻羽,7002,7001,2,阶数=4|性别要求=1|等级要求=120|灵性要求=400|抗封印=15|抗混乱=12|抗昏睡=21|加强水=22,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9722,幻羽,7002,7001,2,阶数=4|性别要求=1|等级要求=120|灵性要求=400|抗封印=36|抗混乱=16|加强风=22,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9723,幻羽,7002,7001,2,阶数=4|性别要求=1|等级要求=120|根骨要求=500|抗水=10|抗封印=25|抗混乱=20|加强封印=6,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9724,幻羽,7002,7001,2,阶数=4|性别要求=1|等级要求=120|根骨要求=500|抗火=7|抗封印=26|抗混乱=22.5|加强昏睡=6,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9725,幻羽,7002,7001,2,阶数=4|性别要求=1|等级要求=120|根骨要求=500|抗封印=22.5|抗混乱=7.5|抗昏睡=18|加强混乱=6,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9726,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|根骨=50|抗雷=5|抗封印=21|抗昏睡=42,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9727,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|根骨要求=500|根骨=50|抗封印=27|抗混乱=30|加强昏睡=6,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9728,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|根骨要求=500|根骨=50|抗火=10|抗封印=42|抗混乱=21|加强封印=6,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9729,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|根骨要求=500|根骨=50|抗火=5|抗封印=30|抗混乱=30|加强混乱=6,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9730,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|根骨=50|抗三尸=1200|抗遗忘=21|抗昏睡=42,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9731,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|灵性要求=400|根骨=50|抗雷=5|抗封印=30|抗混乱=30|加强雷=25,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9732,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|灵性要求=400|根骨=50|抗火=5|抗封印=32|抗混乱=28|加强风=25,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9733,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|灵性要求=400|根骨=50|抗封印=28.5|抗昏睡=28.5|加强水=25,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9734,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|根骨要求=500|根骨=50|抗鬼火=8|加强鬼火=25|抗水=10|抗封印=28|抗昏睡=25,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9735,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|根骨要求=500|根骨=50|抗鬼火=10|加强遗忘=6|抗雷=8|抗昏睡=25|抗混乱=28,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9736,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|抗三尸=4200|抗遗忘=25|抗雷=5|抗混乱=28|敏捷=30,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9737,幻羽,7002,7001,2,阶数=5|性别要求=1|等级要求=120|抗鬼火=5|抗遗忘=30|抗封印=30|敏捷=30,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9738,幻羽,7002,7001,2,阶数=6|性别要求=1|根骨=60|抗三尸虫=1200|抗遗忘=20|抗火=5|抗昏睡=40,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9739,幻羽,7002,7001,2,阶数=6|性别要求=1|加强加速法术效果=7.2|抗三尸虫=4200|抗遗忘=32|抗雷=5|抗风=5|抗混乱=28|敏捷=40,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9740,幻羽,7002,7001,2,阶数=6|性别要求=1|加强加速法术效果=7.2|抗鬼火=5|抗遗忘=30|抗风=5|抗封印=30|敏捷=40,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9741,幻羽,7002,7001,2,阶数=6|性别要求=1|根骨要求=600|根骨=60|抗火=10|抗封印=30|抗混乱=30|加强混乱=7.2|加强昏睡=7.2,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9742,幻羽,7002,7001,2,阶数=6|性别要求=1|根骨要求=600|根骨=60|抗封印=30|抗混乱=30|加强封印=7.2|加强昏睡=7.2,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9743,幻羽,7002,7001,2,阶数=6|性别要求=1|等级要求=2转120|根骨要求=600|根骨=60|抗火=10|抗雷=5|抗封印=40|抗混乱=20|加强混乱=7.2|加强封印=7.2,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9744,幻羽,7002,7001,2,阶数=6|性别要求=1|根骨要求=600|根骨=60|抗鬼火=10|加强鬼火=20|加强遗忘=7.2|抗雷=10|抗昏睡=25|抗混乱=35,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9745,幻羽,7002,7001,2,阶数=6|性别要求=1|根骨=60|抗雷=5|抗水=5|抗封印=20|抗昏睡=40,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9746,幻羽,7002,7001,2,阶数=6|性别要求=1|灵性要求=500|灵性=10|风法狂暴=4|根骨=50|抗水=8|抗封印=28.5|抗昏睡=31|加强风=25|加强水=25,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9747,幻羽,7002,7001,2,阶数=6|性别要求=1|根骨要求=600|根骨=60|抗鬼火=10|加强鬼火=25|加强三尸虫回血程度=25|抗水=12|抗封印=28|抗昏睡=32,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9748,幻羽,7002,7001,2,阶数=6|性别要求=1|灵性要求=500|灵性=10|水法狂暴=4|根骨=50|抗雷=8|抗风=5|抗封印=30|抗混乱=30|加强雷=25|加强水=25,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9749,幻羽,7002,7001,2,阶数=6|性别要求=1|灵性要求=500|灵性=10|雷法狂暴=4|根骨=50|抗火=8|抗封印=32|抗混乱=28|加强雷=25|加强风=25,幻化之羽，能给人以无尽的庇佑。,,,,,,,,,,,,,,,,,,,,,,,,,,
9750,邀月,7003,7001,2,阶数=1|性别要求=0|等级要求=60|抗封印=2|抗混乱=2|抗昏睡=2|抗遗忘=2,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9751,邀月,7003,7001,2,阶数=2|性别要求=0|等级要求=100|抗封印=4|抗混乱=4|抗昏睡=4|抗遗忘=4,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9752,邀月,7003,7001,2,阶数=3|性别要求=0|等级要求=100|抗封印=6|抗混乱=6|抗昏睡=6|抗遗忘=6,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9753,邀月,7003,7001,2,阶数=4|性别要求=0|等级要求=120|敏捷=20|抗封印=22.5|抗混乱=26,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9754,邀月,7003,7001,2,阶数=4|性别要求=0|等级要求=120|灵性要求=400|抗封印=36|抗混乱=16|加强雷=22,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9755,邀月,7003,7001,2,阶数=4|性别要求=0|等级要求=120|灵性要求=400|抗封印=15|抗混乱=12|抗昏睡=21|加强水=22,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9756,邀月,7003,7001,2,阶数=4|性别要求=0|等级要求=120|灵性要求=400|抗封印=36|抗混乱=16|加强火=22,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9757,邀月,7003,7001,2,阶数=4|性别要求=0|等级要求=120|根骨要求=500|抗水=10|抗封印=25|抗混乱=20|加强封印=6,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9758,邀月,7003,7001,2,阶数=4|性别要求=0|等级要求=120|根骨要求=500|抗火=7|抗封印=26|抗混乱=22.5|加强昏睡=6,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9759,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|根骨要求=500|根骨=50|抗火=5|抗封印=31|抗混乱=29|加强昏睡=6,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9760,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|抗雷=5|抗封印=23|抗昏睡=40,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9761,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|根骨要求=500|根骨=50|抗火=10|抗封印=42|抗混乱=21|加强封印=6,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9762,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|灵性要求=400|根骨=50|抗火=5|抗封印=30|抗混乱=30|加强火=25,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9763,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|抗三尸=600|抗遗忘=21|抗昏睡=42,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9764,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|灵性要求=400|根骨=50|抗雷=5|抗封印=31|抗混乱=29|加强雷=25,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9765,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|根骨=50|加强毒伤害=15|抗火=10|抗封印=41|抗混乱=22,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9766,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|灵性要求=400|根骨=50|抗封印=28|抗昏睡=30|加强水=25,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9767,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|根骨要求=500|抗鬼火=8|加强遗忘=6|抗水=10|抗封印=28|抗昏睡=25,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9768,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|根骨要求=500|抗鬼火=10|加强鬼火=25|抗雷=8|抗昏睡=25|抗混乱=28,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9769,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|抗雷=5|抗混乱=28|敏捷=30,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9770,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|抗遗忘=30|抗火=13|抗雷=5|抗混乱=30|敏捷=30,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9771,邀月,7003,7001,2,阶数=5|性别要求=0|等级要求=120|抗鬼火=5|抗遗忘=30|抗封印=30|敏捷=30,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9772,邀月,7003,7001,2,阶数=6|性别要求=0|加强防御法术效果=7.2|根骨=20|抗遗忘=20|抗昏睡=40,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9773,邀月,7003,7001,2,阶数=6|性别要求=0|加强防御法术效果=7.2|根骨=20|抗三尸虫=600|抗火=5|抗雷=5|抗封印=20|抗昏睡=40,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9774,邀月,7003,7001,2,阶数=6|性别要求=0|加强防御法术效果=7.2|抗遗忘=30|抗火=15|抗雷=5|抗混乱=30|敏捷=40,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9775,邀月,7003,7001,2,阶数=6|性别要求=0|加强防御法术效果=7.2|抗鬼火=5|抗遗忘=30|抗封印=30|敏捷=40,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9776,邀月,7003,7001,2,阶数=6|性别要求=0|根骨要求=600|根骨=60|抗鬼火=5|加强鬼火=25|鬼火狂暴=6|抗雷=12|抗昏睡=32|抗混乱=28,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9777,邀月,7003,7001,2,阶数=6|性别要求=0|根骨=60|加强毒伤害=18|抗三尸虫=600|抗火=10|抗封印=40|抗混乱=20,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9778,邀月,7003,7001,2,阶数=6|性别要求=0|等级=2转120|根骨要求=600|根骨=60|抗火=10|抗雷=5|抗封印=40|抗混乱=20|加强封印=7.2|加强昏睡=7.2,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9779,邀月,7003,7001,2,阶数=6|性别要求=0|根骨要求=600|根骨=60|抗鬼火=12|加强鬼火20|加强遗忘=7.2|抗水=10|抗封印=28|抗昏睡=32,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9780,邀月,7003,7001,2,阶数=6|性别要求=0|灵性要求=500|灵性=10|水法狂暴=4|根骨=50|抗火=5|抗封印=30|抗昏睡=30|加强雷=25|加强水=25,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9781,邀月,7003,7001,2,阶数=6|性别要求=0|根骨要求=600|根骨=60|加强毒伤害=18|抗火=5|抗雷=10|抗封印=31|抗混乱=29|加强昏睡=7.2,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9782,邀月,7003,7001,2,阶数=6|性别要求=0|灵性要求=500|灵性=10|火法狂暴=4|根骨=50|抗火=5|抗风=10|抗封印=30|抗混乱=30|加强火=25|加强水=25,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9783,邀月,7003,7001,2,阶数=6|性别要求=0|灵性要求=500|灵性=10|雷法狂暴=4|根骨=50|抗雷=5|抗水=5|抗封印=31|抗混乱=29|加强雷=25|加强火=25,新月之灵，看似柔弱，却能化解一切威胁。,,,,,,,,,,,,,,,,,,,,,,,,,,
9784,苍暮,7011,7004,2,阶数=1|装备角色=神天兵 虎头怪 猎魂引 武尊神 逆天魔 巨魔王 俏千金 木兰行 龙渊客 玄剑娥 青阳使|等级要求=60|攻击=1000|加强风=4|强震慑=2,混沌之时，即已存在。枪挑日月际，暮色已苍茫。,,,,,,,,,,,,,,,,,,,,,,,,,,
9785,苍暮,7011,7004,2,阶数=2|装备角色=神天兵 虎头怪 猎魂引 武尊神 逆天魔 巨魔王 俏千金 木兰行 龙渊客 玄剑娥 青阳使|等级要求=100|攻击=1000|加强风=8|强震慑=4,混沌之时，即已存在。枪挑日月际，暮色已苍茫。,,,,,,,,,,,,,,,,,,,,,,,,,,
9786,苍暮,7011,7004,2,阶数=3|装备角色=神天兵 虎头怪 猎魂引 武尊神 逆天魔 巨魔王 俏千金 木兰行 龙渊客 玄剑娥 青阳使|等级要求=100|攻击=1000|加强风=16|强震慑=6,混沌之时，即已存在。枪挑日月际，暮色已苍茫。,,,,,,,,,,,,,,,,,,,,,,,,,,
9787,苍暮,7011,7004,2,阶数=4|装备角色=神天兵 虎头怪 猎魂引 武尊神 逆天魔 巨魔王 俏千金 木兰行 龙渊客 玄剑娥 青阳使|等级要求=120|灵性要求=400|攻击=3000|强力克木=0.12|强力克火=18|加强风=26|忽视抗风=20|忽视抗水=36|水法狂暴=10,混沌之时，即已存在。枪挑日月际，暮色已苍茫。,,,,,,,,,,,,,,,,,,,,,,,,,,
9788,苍暮,7011,7004,2,阶数=4|装备角色=神天兵 虎头怪 猎魂引 武尊神 逆天魔 巨魔王 俏千金 木兰行 龙渊客 玄剑娥 青阳使|等级要求=120|攻击=10000|敏捷=28|命中=48|强震慑=12.6|加强加速法术效果=22,混沌之时，即已存在。枪挑日月际，暮色已苍茫。,,,,,,,,,,,,,,,,,,,,,,,,,,
9789,苍暮,7011,7004,2,阶数=5|装备角色=神天兵 虎头怪 猎魂引 武尊神 逆天魔 巨魔王 玄剑娥 俏千金 青阳使|等级要求=120|灵性要求=400|攻击=3000|忽视抗水=55|忽视抗风=30|强力克木=10|强力克土=10|强力克水=20|加强风=34,混沌之时，即已存在。枪挑日月际，暮色已苍茫。,,,,,,,,,,,,,,,,,,,,,,,,,,
9790,苍暮,7011,7004,2,阶数=5|装备角色=神天兵 虎头怪 猎魂引 武尊神 逆天魔 巨魔王 玄剑娥 俏千金 青阳使|等级要求=120|根骨要求=500|攻击=3000|灵性=40|强力克金=8|加强加速法术效果=18|加强震慑=27.9|根骨=60,混沌之时，即已存在。枪挑日月际，暮色已苍茫。,,,,,,,,,,,,,,,,,,,,,,,,,,
9791,苍暮,7011,7004,2,阶数=5|装备角色=神天兵 虎头怪 猎魂引 武尊神 逆天魔 巨魔王 玄剑娥 俏千金 青阳使|等级要求=120|攻击=23000|强力克火=33.5|加强加速法术效果=20|加强震慑=18|命中率=60|致命率=20|敏捷=40,混沌之时，即已存在。枪挑日月际，暮色已苍茫。,,,,,,,,,,,,,,,,,,,,,,,,,,
9792,苍暮,7011,7004,2,阶数=5|装备角色=神天兵 虎头怪 猎魂引 武尊神 逆天魔 巨魔王 玄剑娥 俏千金 青阳使|等级要求=120|攻击=3000|忽视抗封=14|加强毒伤害=25|加强封印=12,混沌之时，即已存在。枪挑日月际，暮色已苍茫。,,,,,,,,,,,,,,,,,,,,,,,,,,
